datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:50.000Z,10.34,1005,97,5.36,301,Clouds
2021-07-04T08:15:18.000Z,10.34,1005,97,5.36,301,Clouds
2021-07-04T12:15:27.000Z,10.48,1006,100,3.58,279,Clouds
2021-07-04T16:15:17.000Z,11.36,1007,91,3.38,287,Clouds
2021-07-04T20:15:20.000Z,8.88,1007,85,2.25,286,Clouds
2021-07-05T00:15:25.000Z,7.86,1009,91,1.6,287,Clouds
2021-07-05T04:15:20.000Z,9.11,1009,54,2.35,284,Clouds
2021-07-05T08:15:20.000Z,12.36,1009,48,4.08,296,Clouds
2021-07-05T12:15:25.000Z,13.8,1008,32,3.61,322,Clouds
2021-07-05T16:15:18.000Z,13.56,1008,52,3.28,333,Clouds
2021-07-05T20:15:20.000Z,9.86,1008,49,3.77,344,Clouds
2021-07-06T00:15:24.000Z,7.08,1008,57,3.85,345,Clouds
2021-07-06T04:15:25.000Z,8.73,1007,95,5.3,349,Clouds
2021-07-06T08:15:20.000Z,12.95,1005,54,6.94,1,Clouds
2021-07-06T12:15:25.000Z,14.6,1005,4,7.6,355,Clear
2021-07-06T16:15:21.000Z,13.37,1005,1,7.16,351,Clear
2021-07-06T20:15:19.000Z,9.97,1005,1,2.71,332,Clear
2021-07-07T00:15:24.000Z,9.04,1004,1,1.11,301,Clear
2021-07-07T04:15:13.000Z,12.22,1003,6,2.11,308,Clear
2021-07-07T08:15:18.000Z,15.05,1002,27,2.62,297,Clouds
2021-07-07T12:15:25.000Z,16.55,1002,100,5.08,295,Clouds
2021-07-07T16:15:21.000Z,15.95,1002,82,4.31,305,Clouds
2021-07-07T20:15:22.000Z,12.87,1002,55,2.69,300,Clouds
2021-07-08T00:15:24.000Z,8.88,1004,10,3.7,324,Clear
2021-07-08T04:15:27.000Z,9.23,1004,10,4.76,326,Clear
2021-07-08T08:15:21.000Z,11.52,1006,16,8.97,344,Clouds
2021-07-08T12:15:16.000Z,12.6,1007,67,8.67,341,Clouds
2021-07-08T16:15:21.000Z,12.01,1009,6,7.77,337,Clear
2021-07-08T20:15:13.000Z,8,1010,11,4.96,329,Clouds
2021-07-09T00:15:20.000Z,6.05,1011,40,2.42,324,Clouds
2021-07-09T04:15:18.000Z,8.4,1011,93,1.99,303,Clouds
2021-07-09T08:15:20.000Z,12.67,1008,96,2.97,254,Clouds
2021-07-09T12:15:20.000Z,16.51,1005,95,7.29,221,Clouds
2021-07-09T16:15:24.000Z,15.71,1001,100,9.43,223,Clouds
2021-07-09T20:15:31.000Z,13.72,996,100,9.59,190,Clouds
2021-07-10T00:15:19.000Z,12.34,993,100,11.34,194,Rain
2021-07-10T04:15:18.000Z,11.35,989,100,10.98,195,Rain
2021-07-10T08:15:17.000Z,9.08,990,100,7.35,283,Rain
2021-07-10T12:15:17.000Z,3.99,998,100,6.19,337,Clouds
2021-07-10T16:15:16.000Z,6.84,1002,100,6.44,347,Clouds
2021-07-10T20:15:23.000Z,5.61,1004,97,4.92,5,Clouds
2021-07-11T00:15:30.000Z,2.53,1006,17,4.16,346,Clouds
2021-07-11T04:15:20.000Z,4.31,1006,76,5.22,345,Clouds
2021-07-11T08:15:18.000Z,7.45,1005,91,4.02,323,Clouds
2021-07-11T12:15:22.000Z,10.73,1004,56,2.33,284,Clouds
2021-07-11T16:15:25.000Z,12.01,1002,59,4.62,243,Clouds
2021-07-11T20:15:15.000Z,10.67,1001,86,4.63,190,Clouds
2021-07-12T00:15:20.000Z,7.91,1000,100,4.86,230,Rain
2021-07-12T04:15:21.000Z,7.65,1001,49,5.48,277,Clouds
2021-07-12T08:15:19.000Z,9.05,1002,72,5.31,274,Clouds
2021-07-12T12:15:20.000Z,7.95,1003,100,5.2,294,Clouds
2021-07-12T16:15:21.000Z,6.76,1005,100,4.28,299,Clouds
2021-07-12T20:15:21.000Z,5.55,1006,100,3.62,293,Clouds
2021-07-13T00:15:27.000Z,3.17,1007,100,3.02,321,Clouds
2021-07-13T04:15:21.000Z,3.69,1009,97,4.37,309,Clouds
2021-07-13T08:15:18.000Z,4.39,1010,98,5.01,326,Clouds
2021-07-13T12:15:27.000Z,5.33,1012,100,5.42,328,Clouds
2021-07-13T16:15:21.000Z,5.21,1014,100,5,330,Clouds
2021-07-13T20:15:28.000Z,4.55,1015,99,2.33,318,Clouds
2021-07-14T00:15:18.000Z,4.05,1017,76,1.69,287,Clouds
2021-07-14T04:15:22.000Z,6.05,1017,100,1.85,311,Clouds
2021-07-14T08:15:19.000Z,9.43,1017,70,1.97,321,Clouds
2021-07-14T12:15:15.000Z,12.05,1016,77,2.15,297,Clouds
2021-07-14T16:15:27.000Z,12.03,1016,52,2.55,323,Clouds
2021-07-14T20:15:21.000Z,7.98,1016,43,0.55,330,Clouds
2021-07-15T00:15:24.000Z,8.08,1015,93,1.07,206,Clouds
2021-07-15T04:15:35.000Z,11.3,1014,20,0.49,220,Clouds
2021-07-15T08:15:18.000Z,14.62,1012,18,1.05,279,Clouds
2021-07-15T12:15:16.000Z,16.73,1010,67,2.61,285,Clouds
2021-07-15T16:15:22.000Z,16.39,1009,31,2,338,Clouds
2021-07-15T20:15:19.000Z,11.98,1008,61,0.97,341,Clouds
2021-07-16T00:15:22.000Z,11.29,1007,72,1.67,334,Clouds
2021-07-16T04:15:18.000Z,13.59,1006,100,3.37,340,Clouds
2021-07-16T08:15:15.000Z,16.08,1005,100,6.43,355,Clouds
2021-07-16T12:15:20.000Z,16.71,1004,92,6.62,354,Clouds
2021-07-16T16:15:26.000Z,13.58,1004,100,5.57,359,Clouds
2021-07-16T20:15:19.000Z,11.15,1004,100,2.93,357,Clouds
2021-07-17T00:15:26.000Z,8.33,1004,100,1.55,315,Rain
2021-07-17T04:15:17.000Z,8.17,1003,100,0.76,332,Rain
2021-07-17T08:15:20.000Z,11.9,1004,97,0.45,333,Clouds
2021-07-17T12:15:24.000Z,11.88,1004,100,1.15,111,Clouds
2021-07-17T16:15:24.000Z,16.09,1003,99,0.31,162,Clouds
2021-07-17T20:15:23.000Z,11.69,1003,86,1.65,316,Clouds
2021-07-18T00:15:26.000Z,12.04,1003,94,1.27,151,Clouds
2021-07-18T04:15:21.000Z,11.7,1003,100,0.84,277,Clouds
2021-07-18T08:15:17.000Z,13.18,1003,99,1.27,294,Clouds
2021-07-18T12:15:26.000Z,15.72,1001,96,1.48,301,Clouds
2021-07-18T16:15:19.000Z,13.7,1001,100,2.67,309,Clouds
2021-07-18T20:15:16.000Z,11.53,1002,100,2.64,297,Clouds
2021-07-19T00:15:24.000Z,9.72,1003,97,1.82,266,Clouds
2021-07-19T04:15:19.000Z,10.4,1004,90,2.03,271,Clouds
2021-07-19T08:15:27.000Z,13.47,1005,55,2.75,297,Clouds
2021-07-19T12:15:20.000Z,15.56,1005,65,3.5,319,Clouds
2021-07-19T16:15:36.000Z,13.27,1006,65,4,316,Clouds
2021-07-19T20:15:23.000Z,9.72,1006,35,1.7,313,Clouds
2021-07-20T00:15:30.000Z,10.4,1006,99,2.24,331,Clouds
2021-07-20T04:15:25.000Z,12.8,1006,33,2.96,342,Clouds
2021-07-20T08:15:29.000Z,15.51,1006,15,3.77,328,Clouds
2021-07-20T12:15:19.000Z,16.63,1005,2,3.69,309,Clear
2021-07-20T16:15:24.000Z,15.79,1005,1,5.62,333,Clear
2021-07-20T20:15:35.000Z,11.34,1006,0,2.35,321,Clear
2021-07-21T00:15:20.000Z,9.73,1006,0,1.78,306,Clear
2021-07-21T04:15:21.000Z,13.09,1006,0,1.49,306,Clear
2021-07-21T08:15:23.000Z,16.78,1005,1,1.43,278,Clear
2021-07-21T12:15:21.000Z,18.6,1004,6,1.49,295,Clear
2021-07-21T16:15:26.000Z,18.6,1004,21,2.13,307,Clouds
2021-07-21T20:15:19.000Z,14.03,1004,15,1.22,131,Clouds
2021-07-22T00:15:22.000Z,13.17,1004,100,2.74,146,Clouds
2021-07-22T04:15:21.000Z,16.19,1003,100,3.38,125,Clouds
2021-07-22T08:15:24.000Z,20.3,1001,99,9.01,158,Clouds
2021-07-22T12:15:17.000Z,21.84,999,100,8.76,173,Clouds
2021-07-22T16:15:25.000Z,16.36,998,100,6.06,145,Rain
2021-07-22T20:15:23.000Z,15.67,998,100,4.6,219,Rain
2021-07-23T00:15:27.000Z,12.28,1002,99,2.6,211,Clouds
2021-07-23T04:15:21.000Z,14.34,1005,100,1.52,218,Clouds
2021-07-23T08:15:23.000Z,15.85,1007,86,4.1,245,Clouds
2021-07-23T12:15:21.000Z,18.52,1009,70,5.07,265,Clouds
2021-07-23T16:15:23.000Z,17.66,1009,100,0.82,234,Clouds
2021-07-23T20:15:18.000Z,14.77,1007,100,3.54,117,Clouds
2021-07-24T00:15:21.000Z,16.33,1001,100,9.07,135,Clouds
2021-07-24T04:15:18.000Z,20.13,999,100,10.76,166,Rain
2021-07-24T08:15:22.000Z,20.39,1000,100,9.87,195,Rain
2021-07-24T12:15:15.000Z,18.27,1004,99,11.19,239,Clouds
2021-07-24T16:15:20.000Z,16.35,1007,65,9.13,258,Clouds
2021-07-24T20:15:22.000Z,13.37,1008,82,2.23,257,Clouds
2021-07-25T00:15:26.000Z,9.42,1010,100,0.31,46,Rain
2021-07-25T04:15:18.000Z,9.39,1008,100,2.08,349,Rain
2021-07-25T08:15:23.000Z,9.47,1007,100,2.08,40,Rain
2021-07-25T12:15:18.000Z,10.77,1007,100,0.64,49,Rain
2021-07-25T16:15:20.000Z,12.05,1006,100,1.59,119,Clouds
2021-07-25T20:15:16.000Z,12.86,1005,99,2.28,133,Clouds
2021-07-26T00:15:23.000Z,13.43,1005,100,1.31,169,Clouds
2021-07-26T04:15:25.000Z,14.63,1006,100,0.75,233,Clouds
2021-07-26T08:15:16.000Z,18.4,1006,98,1.55,234,Clouds
2021-07-26T12:15:23.000Z,20.55,1005,99,1.44,62,Rain
2021-07-26T16:15:22.000Z,20.92,1004,99,2.87,21,Clouds
2021-07-26T20:15:36.000Z,17.37,1001,99,1.32,68,Clouds
2021-07-27T00:15:33.000Z,17.87,999,63,2.47,115,Clouds
2021-07-27T04:15:25.000Z,22.81,997,100,3.92,117,Clouds
2021-07-27T08:15:27.000Z,29.78,995,66,10.34,150,Clouds
2021-07-27T12:15:38.000Z,30.32,994,76,8.87,164,Clouds
2021-07-27T16:15:29.000Z,26.47,994,97,6.21,162,Clouds
2021-07-27T20:15:17.000Z,22.42,994,87,3.24,129,Clouds
2021-07-28T00:15:18.000Z,18.79,997,88,3.07,160,Clouds
2021-07-28T04:15:19.000Z,16.84,999,99,1.99,253,Clouds
2021-07-28T08:15:24.000Z,14.3,1001,100,2.76,253,Rain
2021-07-28T12:15:22.000Z,15.08,1003,100,2.97,199,Clouds
2021-07-28T16:15:23.000Z,14.97,1005,99,2.79,239,Clouds
2021-07-28T20:15:16.000Z,13.71,1007,100,0.94,198,Clouds
2021-07-29T00:15:21.000Z,13.02,1009,100,1.39,102,Clouds
2021-07-29T04:15:17.000Z,14.2,1011,100,1.38,111,Clouds
2021-07-29T08:15:21.000Z,17.68,1010,100,2.69,131,Clouds
2021-07-29T12:15:26.000Z,19.58,1010,100,2.58,107,Clouds
2021-07-29T16:15:29.000Z,18.64,1009,72,2.5,5,Clouds
2021-07-29T20:15:21.000Z,14.89,1006,92,1.31,285,Clouds
2021-07-30T00:15:23.000Z,15.28,1006,99,1.46,240,Clouds
2021-07-30T04:15:17.000Z,14.74,1007,100,2.01,246,Rain
2021-07-30T08:15:18.000Z,14.63,1009,100,1.41,166,Rain
2021-07-30T12:15:25.000Z,17.95,1010,100,2.77,114,Clouds
2021-07-30T16:15:19.000Z,17.67,1010,100,3.67,113,Clouds
2021-07-30T20:15:27.000Z,14.51,1010,100,2.2,108,Clouds
2021-07-31T00:15:23.000Z,14.59,1009,100,2.16,110,Rain
2021-07-31T04:15:21.000Z,15.99,1009,94,2.92,109,Clouds
2021-07-31T08:15:24.000Z,19.34,1007,97,3.49,121,Clouds
2021-07-31T12:15:23.000Z,18.84,1006,98,4.35,173,Rain
2021-07-31T16:15:24.000Z,17.32,1007,48,5.75,170,Rain
2021-07-31T20:15:18.000Z,13.08,1009,39,6.36,160,Clouds
2021-08-01T00:15:23.000Z,11.07,1010,24,3.48,148,Clouds
2021-08-01T04:15:21.000Z,14.22,1012,100,3.95,154,Clouds
2021-08-01T08:15:26.000Z,13.33,1012,99,4.64,155,Rain
2021-08-01T12:15:22.000Z,11.7,1013,100,3.54,132,Rain
2021-08-01T16:15:19.000Z,12.86,1013,100,2.96,149,Clouds
2021-08-01T20:15:22.000Z,11.6,1015,95,2.14,120,Clouds
2021-08-02T00:15:20.000Z,12.67,1015,100,1.86,114,Clouds
2021-08-02T04:15:22.000Z,15.08,1015,98,2.01,117,Clouds
2021-08-02T08:15:19.000Z,20.59,1014,51,3.14,118,Clouds
2021-08-02T12:15:20.000Z,23.53,1014,24,3.33,105,Clouds
2021-08-02T16:15:29.000Z,23.15,1013,79,2.56,75,Clouds
2021-08-02T20:15:22.000Z,18.87,1013,96,1.64,88,Clouds
2021-08-03T00:15:21.000Z,18.09,1011,100,1.93,99,Clouds
2021-08-03T04:15:24.000Z,21.73,1011,100,2.24,117,Clouds
2021-08-03T08:15:22.000Z,26.96,1010,99,4.03,110,Clouds
2021-08-03T12:15:19.000Z,27.8,1010,100,4.61,113,Clouds
2021-08-03T16:15:23.000Z,26.14,1009,100,2.19,79,Clouds
2021-08-03T20:15:25.000Z,21.49,1009,100,2.46,102,Clouds
2021-08-04T00:15:19.000Z,17.91,1010,63,0.7,98,Clouds
2021-08-04T04:16:36.000Z,21.57,1011,0,3.27,151,Clear
2021-08-04T08:15:27.000Z,24.91,1012,0,6.14,159,Clear
2021-08-04T12:15:18.000Z,26.63,1012,12,4.85,166,Clouds
2021-08-04T16:15:20.000Z,23.62,1012,100,0.78,192,Clouds
2021-08-04T20:15:29.000Z,20.51,1013,69,0.94,88,Clouds
2021-08-05T00:15:31.000Z,18.4,1014,17,1.19,119,Clouds
2021-08-05T04:15:25.000Z,22.77,1015,5,1.39,121,Clear
2021-08-05T08:15:23.000Z,26.41,1015,6,1.55,119,Clear
2021-08-05T12:15:23.000Z,27.78,1015,8,1.22,101,Clear
2021-08-05T16:15:28.000Z,26.07,1014,91,2.34,4,Clouds
2021-08-05T20:15:35.000Z,20.48,1014,47,1.68,338,Clouds
2021-08-06T00:15:22.000Z,18.17,1014,81,1.23,307,Clouds
2021-08-06T04:15:24.000Z,22.35,1015,99,0.57,264,Clouds
2021-08-06T08:15:23.000Z,25.75,1014,73,0.99,309,Clouds
2021-08-06T12:15:23.000Z,27.29,1014,48,1.45,295,Clouds
2021-08-06T16:15:45.000Z,25.74,1014,66,0.61,272,Clouds
2021-08-06T20:15:31.000Z,20.17,1014,40,0.83,212,Clouds
2021-08-07T00:15:20.000Z,17.41,1014,26,0.5,85,Clouds
2021-08-07T04:15:21.000Z,22.75,1014,7,1.01,338,Clear
2021-08-07T08:15:26.000Z,25.65,1013,9,3.04,329,Clear
2021-08-07T12:15:29.000Z,26.78,1012,51,5.57,346,Clouds
2021-08-07T16:15:22.000Z,22.54,1012,79,2.46,300,Clouds
2021-08-07T20:15:28.000Z,16.69,1012,79,2.07,276,Clouds
2021-08-08T00:15:19.000Z,13.34,1011,12,1.64,278,Clouds
2021-08-08T04:15:28.000Z,17.43,1011,9,1.42,327,Clear
2021-08-08T08:15:21.000Z,23.46,1009,6,3.22,27,Clear
2021-08-08T12:15:20.000Z,25.72,1009,4,2.93,72,Clear
2021-08-08T16:15:21.000Z,24.06,1009,0,0.75,126,Clear
2021-08-08T20:15:28.000Z,17.1,1009,0,0.97,1,Clear
2021-08-09T00:15:21.000Z,13.63,1008,0,0.59,70,Clear
2021-08-09T04:15:25.000Z,17.31,1007,22,1.6,356,Clouds
2021-08-09T08:15:22.000Z,20.51,1006,33,5.05,14,Clouds
2021-08-09T12:15:37.000Z,19.78,1006,94,7.02,5,Clouds
2021-08-09T16:15:20.000Z,16.42,1007,99,5.19,347,Clouds
2021-08-09T20:15:24.000Z,13.77,1007,100,2.89,338,Clouds
2021-08-10T00:15:35.000Z,10.36,1009,98,2.13,301,Clouds
2021-08-10T04:15:19.000Z,12.91,1009,85,2.99,305,Clouds
2021-08-10T08:15:53.000Z,14.32,1009,95,4.15,331,Clouds
2021-08-10T12:15:24.000Z,10.82,1011,100,3.9,326,Clouds
2021-08-10T16:15:23.000Z,10.06,1013,100,3.9,330,Clouds
2021-08-10T20:15:21.000Z,9.44,1013,99,4.69,323,Clouds
2021-08-11T00:15:28.000Z,7.63,1014,99,3.08,316,Clouds
2021-08-11T04:15:18.000Z,7.6,1015,100,3.15,302,Clouds
2021-08-11T08:15:21.000Z,7.92,1015,100,3.28,288,Clouds
2021-08-11T12:15:19.000Z,8.19,1016,100,3.3,305,Clouds
2021-08-11T16:15:26.000Z,8.43,1016,100,3.31,307,Clouds
2021-08-11T20:15:28.000Z,7.32,1016,100,2.62,284,Clouds
2021-08-12T00:15:16.000Z,6.14,1017,100,2.64,296,Rain
2021-08-12T04:15:24.000Z,6.02,1018,100,2.55,313,Clouds
2021-08-12T08:15:22.000Z,6.43,1019,100,3.42,329,Clouds
2021-08-12T12:15:23.000Z,10.53,1019,91,4.24,4,Clouds
2021-08-12T16:15:20.000Z,9.91,1020,37,1.87,120,Clouds
2021-08-12T20:15:24.000Z,5.74,1020,23,2.39,129,Clouds
2021-08-13T00:15:26.000Z,5.73,1019,18,2.16,132,Clouds
2021-08-13T04:15:27.000Z,10.31,1018,21,2.33,137,Clouds
2021-08-13T08:15:22.000Z,14.8,1016,61,1.77,157,Clouds
2021-08-13T12:15:21.000Z,16.97,1015,100,1.76,217,Clouds
2021-08-13T16:15:24.000Z,15.65,1014,100,2.23,227,Clouds
2021-08-13T20:15:28.000Z,12.82,1013,100,2.11,172,Clouds
2021-08-14T00:15:22.000Z,12.4,1013,100,1.97,166,Clouds
2021-08-14T04:15:17.000Z,12,1012,100,1.99,158,Clouds
2021-08-14T08:15:22.000Z,12.01,1012,100,1.81,156,Clouds
2021-08-14T12:15:26.000Z,13.6,1012,100,2.04,160,Clouds
2021-08-14T16:15:16.000Z,14.05,1011,100,1.84,123,Clouds
2021-08-14T20:15:27.000Z,12.41,1010,100,2.1,128,Clouds
2021-08-15T00:15:26.000Z,11.61,1009,100,2.64,131,Clouds
2021-08-15T04:15:18.000Z,13.32,1006,100,3.81,129,Clouds
2021-08-15T08:15:20.000Z,15.72,1004,100,5.74,166,Rain
2021-08-15T12:15:22.000Z,15.56,1002,100,7.79,158,Clouds
2021-08-15T16:15:26.000Z,13.65,1000,100,7.49,145,Rain
2021-08-15T20:15:26.000Z,13.74,998,100,7.29,147,Rain
2021-08-16T00:15:22.000Z,13.13,999,100,4.7,165,Rain
2021-08-16T04:15:21.000Z,13.9,1000,97,5.57,200,Clouds
2021-08-16T08:15:19.000Z,10.73,1002,99,5.45,226,Clouds
2021-08-16T12:15:25.000Z,10.15,1006,100,5.02,226,Clouds
2021-08-16T16:15:17.000Z,9.08,1008,100,3.04,222,Clouds
2021-08-16T20:15:39.000Z,9.49,1010,100,3.07,182,Clouds
2021-08-17T00:15:27.000Z,8.27,1010,64,3.66,160,Clouds
2021-08-17T04:15:24.000Z,9.69,1009,100,3.98,147,Rain
2021-08-17T08:15:45.000Z,9.89,1007,100,4.58,149,Rain
2021-08-17T12:15:15.000Z,11.87,1006,100,4.13,158,Rain
2021-08-17T16:15:24.000Z,12.26,1003,100,4.39,170,Rain
2021-08-17T20:15:29.000Z,12.73,1002,100,2.94,183,Rain
2021-08-18T00:15:19.000Z,11.86,1002,100,2.63,305,Rain
2021-08-18T04:15:21.000Z,9.01,1004,100,2.56,307,Clouds
2021-08-18T08:15:19.000Z,11.35,1005,98,3.65,314,Clouds
2021-08-18T12:15:38.000Z,10.74,1005,82,4.83,312,Clouds
2021-08-18T16:15:20.000Z,9.38,1005,100,3.67,322,Clouds
2021-08-18T20:15:49.000Z,7.41,1004,100,1.13,303,Clouds
2021-08-19T00:15:25.000Z,6.8,1002,97,0.69,302,Clouds
2021-08-19T04:15:15.000Z,8.07,1002,100,1.61,302,Clouds
2021-08-19T08:15:23.000Z,9.95,1003,99,3.14,318,Clouds
2021-08-19T12:15:20.000Z,11.12,1003,93,5.18,6,Clouds
2021-08-19T16:15:31.000Z,9.82,1005,99,3.08,10,Clouds
2021-08-19T20:15:17.000Z,7.45,1007,99,2.19,344,Clouds
2021-08-20T00:15:16.000Z,6.87,1010,97,2.35,324,Clouds
2021-08-20T04:15:23.000Z,7.77,1012,99,1.57,303,Clouds
2021-08-20T08:15:26.000Z,8.07,1013,98,1.72,292,Clouds
2021-08-20T12:15:17.000Z,11.23,1014,91,0.89,15,Clouds
2021-08-20T16:15:38.000Z,10.35,1015,100,2.05,295,Clouds
2021-08-20T20:15:21.000Z,8.89,1016,100,1.05,241,Clouds
2021-08-21T00:15:21.000Z,8.48,1016,97,2.01,180,Clouds
2021-08-21T04:15:21.000Z,9.43,1016,100,2.69,159,Clouds
2021-08-21T08:15:21.000Z,12.93,1015,96,7.23,198,Clouds
2021-08-21T12:15:27.000Z,12.98,1014,100,5.51,176,Clouds
2021-08-21T16:15:24.000Z,10.6,1014,100,5.16,165,Rain
2021-08-21T20:15:23.000Z,9.67,1012,100,5,145,Rain
2021-08-22T00:15:18.000Z,9.24,1011,100,4.18,145,Rain
2021-08-22T04:15:22.000Z,8.88,1011,100,3.48,146,Rain
2021-08-22T08:15:21.000Z,9.85,1012,100,2.38,163,Rain
2021-08-22T12:15:21.000Z,11.5,1013,100,2.17,179,Rain
2021-08-22T16:15:20.000Z,11.58,1014,99,1.19,268,Clouds
2021-08-22T20:15:19.000Z,11.01,1016,96,1.39,233,Clouds
2021-08-23T00:15:24.000Z,10.72,1017,100,1.29,232,Rain
2021-08-23T04:15:20.000Z,11.72,1017,96,2.04,209,Clouds
2021-08-23T08:15:22.000Z,12.48,1017,99,2.3,233,Rain
2021-08-23T12:15:26.000Z,15.37,1017,100,4.86,246,Rain
2021-08-23T16:15:28.000Z,13.33,1016,100,1.82,185,Clouds
2021-08-23T20:15:23.000Z,12.06,1015,100,3.04,182,Rain
2021-08-24T00:15:18.000Z,12.05,1010,100,7.86,134,Rain
2021-08-24T04:15:37.000Z,13.43,1005,100,6.05,151,Rain
2021-08-24T08:15:24.000Z,15.17,1004,100,4.39,162,Rain
2021-08-24T12:15:22.000Z,19.51,1002,98,7.31,203,Rain
2021-08-24T16:15:25.000Z,18.37,1000,8,8.58,246,Rain
2021-08-24T20:15:34.000Z,12.08,1001,65,9.09,238,Clouds
2021-08-25T00:15:16.000Z,8.13,1003,100,10.27,231,Rain
2021-08-25T04:15:23.000Z,7.78,1003,100,11.44,231,Rain
2021-08-25T08:15:19.000Z,7.01,1004,100,11.7,247,Rain
2021-08-25T12:15:22.000Z,7.13,1007,100,9.36,265,Rain
2021-08-25T16:15:28.000Z,6.52,1012,100,10.08,284,Rain
2021-08-25T20:15:24.000Z,6.07,1016,100,6.65,289,Rain
2021-08-26T00:15:20.000Z,6.46,1018,100,4.32,289,Rain
2021-08-26T04:15:24.000Z,6.58,1021,100,2.19,267,Clouds
2021-08-26T08:15:27.000Z,7.82,1022,100,1.18,298,Clouds
2021-08-26T12:15:19.000Z,9.86,1021,100,0.47,167,Clouds
2021-08-26T16:15:30.000Z,9.1,1019,100,2.05,117,Clouds
2021-08-26T20:15:24.000Z,7.97,1017,100,3.41,103,Clouds
2021-08-27T00:15:21.000Z,7.52,1011,100,5.25,99,Rain
2021-08-27T04:15:17.000Z,7.38,1003,100,6.65,121,Rain
2021-08-27T08:15:22.000Z,8.75,1001,100,5.03,125,Rain
2021-08-27T12:15:21.000Z,10.04,999,100,4.33,131,Clouds
2021-08-27T16:15:30.000Z,8.69,998,99,5.26,186,Clouds
2021-08-27T20:15:17.000Z,6.3,998,100,2.29,185,Rain
2021-08-28T00:15:20.000Z,4.55,998,100,0.54,50,Rain
2021-08-28T04:15:23.000Z,4.85,1001,100,2.12,281,Clouds
2021-08-28T12:15:21.000Z,4.25,1008,100,5.07,313,Clouds
2021-08-28T16:15:17.000Z,4.66,1009,100,0.71,236,Clouds
2021-08-28T20:15:22.000Z,4.46,1009,100,2.59,163,Clouds
2021-08-29T00:15:18.000Z,3.98,1009,100,2.89,156,Clouds
2021-08-29T04:15:20.000Z,3.78,1009,100,3.42,144,Clouds
2021-08-29T08:15:21.000Z,4.27,1009,100,3.92,139,Clouds
2021-08-29T12:15:16.000Z,4.58,1010,100,3.81,142,Clouds
2021-08-29T16:15:17.000Z,4.37,1010,100,4.3,138,Rain
2021-08-29T20:15:20.000Z,4.43,1010,100,4.55,137,Rain
2021-08-30T00:15:22.000Z,4.85,1009,100,4.58,135,Rain
2021-08-30T04:15:21.000Z,4.91,1009,100,4.68,125,Rain
2021-08-30T08:15:20.000Z,5.31,1010,100,4.1,119,Clouds
2021-08-30T12:15:26.000Z,5.61,1009,100,3.56,120,Rain
2021-08-30T16:15:25.000Z,5.52,1009,100,3.68,124,Rain
2021-08-30T20:15:23.000Z,5.25,1008,100,3.05,115,Rain
2021-08-31T00:15:22.000Z,5.42,1007,100,2.35,98,Clouds
2021-08-31T04:15:35.000Z,5.92,1006,98,1.71,84,Clouds
2021-08-31T08:15:14.000Z,7.66,1003,100,2.76,355,Clouds
2021-08-31T12:15:18.000Z,10.63,1000,93,6.55,359,Clouds
2021-08-31T16:15:19.000Z,6.92,999,100,6.08,346,Clouds
2021-08-31T20:15:26.000Z,5.33,998,100,5.38,351,Clouds
2021-09-01T00:15:32.000Z,4.34,999,100,5.47,348,Rain
2021-09-01T04:15:19.000Z,3.81,1001,100,5.38,343,Rain
2021-09-01T08:15:23.000Z,3.45,1003,100,4.63,336,Rain
2021-09-01T12:15:23.000Z,3.38,1005,100,3.87,326,Rain
2021-09-01T16:15:26.000Z,3.63,1007,100,3.68,326,Clouds
2021-09-01T20:15:14.000Z,3.64,1009,100,3.99,333,Clouds
2021-09-02T00:15:20.000Z,3.43,1011,100,3.14,338,Clouds
2021-09-02T04:15:27.000Z,3.14,1013,95,3.39,341,Clouds
2021-09-02T08:15:18.000Z,5.73,1014,87,3.31,342,Clouds
2021-09-02T12:15:21.000Z,6.26,1016,92,2.37,329,Clouds
2021-09-02T16:15:25.000Z,5.93,1017,97,1.19,205,Clouds
2021-09-02T20:15:28.000Z,5.2,1018,97,2.55,161,Clouds
2021-09-03T00:15:26.000Z,3.43,1018,83,3.31,141,Clouds
2021-09-03T04:15:21.000Z,4.77,1018,100,4.57,142,Clouds
2021-09-03T08:15:31.000Z,7.78,1016,100,9.98,157,Clouds
2021-09-03T12:15:18.000Z,7.78,1016,100,11.4,155,Clouds
2021-09-03T16:15:21.000Z,7.06,1014,100,9.49,149,Rain
2021-09-03T20:15:17.000Z,7.72,1014,100,7.32,152,Rain
2021-09-04T00:15:16.000Z,7.92,1014,100,5.82,146,Clouds
2021-09-04T04:15:24.000Z,8.66,1014,100,7.83,151,Clouds
2021-09-04T08:15:31.000Z,9.15,1014,100,6.32,154,Clouds
2021-09-04T12:15:26.000Z,9.97,1015,100,5.82,136,Clouds
2021-09-04T16:15:17.000Z,11.66,1016,100,6.53,151,Clouds
2021-09-04T20:15:22.000Z,11.22,1017,100,5.77,147,Clouds
2021-09-05T00:15:22.000Z,9.93,1017,69,4.63,141,Clouds
2021-09-05T04:15:20.000Z,10.89,1019,88,5.25,140,Clouds
2021-09-05T04:15:51.000Z,10.89,1019,88,5.25,140,Clouds
2021-09-05T04:16:25.000Z,10.89,1019,88,5.25,140,Clouds
2021-09-05T08:15:17.000Z,14.53,1019,73,10.35,160,Clouds
